Player,Player-additional,League,Season,Home Continent,Home Country,Home City,Overall Value,Offensive Performance,Defensive Performance,Measurables,Migration Difficulty
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,21,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Fernando Abad,abadfe01,MLB,,North America,Dominican Republic,La Romana,22,,,,
Albert Abreu,abreual01,MLB,,North America,Dominican Republic,Guayubin,21,,,,
Albert Abreu,abreual01,MLB,,North America,Dominican Republic,Guayubin,22,,,,
Albert Abreu,abreual01,MLB,,North America,Dominican Republic,Guayubin,22,,,,
Albert Abreu,abreual01,MLB,,North America,Dominican Republic,Guayubin,21,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,22,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,23,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,45,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,44,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,45,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,41,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,43,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,42,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,46,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,35,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,36,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,31,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,32,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,34,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,29,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,28,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,20,,,,
Bobby Abreu,abreubo01,MLB,,South America,Venezuela,Maracay,20,,,,
Bryan Abreu,abreubr01,MLB,,North America,Dominican Republic,Santo Domingo,23,,,,
Bryan Abreu,abreubr01,MLB,,North America,Dominican Republic,Santo Domingo,22,,,,
Bryan Abreu,abreubr01,MLB,,North America,Dominican Republic,Santo Domingo,22,,,,
Bryan Abreu,abreubr01,MLB,,North America,Dominican Republic,Santo Domingo,27,,,,
Bryan Abreu,abreubr01,MLB,,North America,Dominican Republic,Santo Domingo,31,,,,
Bryan Abreu,abreubr01,MLB,,North America,Dominican Republic,Santo Domingo,23,,,,
Eufemio Abreu,abreueu01,MLB,,North America,Cuba,Matanzas,19,,,,
Eufemio Abreu,abreueu01,MLB,,North America,Cuba,Matanzas,18,,,,
Eufemio Abreu,abreueu01,MLB,,North America,Cuba,Matanzas,24,,,,
Eufemio Abreu,abreueu01,MLB,,North America,Cuba,Matanzas,22,,,,
Eufemio Abreu,abreueu01,MLB,,North America,Cuba,Matanzas,23,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,43,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,35,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,33,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,40,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,29,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,31,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,33,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,32,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,38,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,22,,,,
José Abreu,abreujo02,MLB,,North America,Cuba,Cienfuegos,16,,,,
Juan Abreu,abreuju01,MLB,,North America,Dominican Republic,San Francisco de Macoris,22,,,,
Tony Abreu,abreuto01,MLB,,North America,Dominican Republic,Puerto Plata,25,,,,
Tony Abreu,abreuto01,MLB,,North America,Dominican Republic,Puerto Plata,22,,,,
Tony Abreu,abreuto01,MLB,,North America,Dominican Republic,Puerto Plata,17,,,,
Tony Abreu,abreuto01,MLB,,North America,Dominican Republic,Puerto Plata,21,,,,
Tony Abreu,abreuto01,MLB,,North America,Dominican Republic,Puerto Plata,21,,,,
Tony Abreu,abreuto01,MLB,,North America,Dominican Republic,Puerto Plata,21,,,,
Winston Abreu,abreuwi01,MLB,,North America,Dominican Republic,Cotui,21,,,,
Winston Abreu,abreuwi01,MLB,,North America,Dominican Republic,Cotui,22,,,,
Winston Abreu,abreuwi01,MLB,,North America,Dominican Republic,Cotui,22,,,,
Wilyer Abreu,abreuwi02,MLB,,South America,Venezuela,Maracaibo,25,,,,
Wilyer Abreu,abreuwi02,MLB,,South America,Venezuela,Maracaibo,28,,,,
Alfredo Aceves,aceveal01,MLB,,North America,Mexico,San Luis Rio Colorado,27,,,,
Alfredo Aceves,aceveal01,MLB,,North America,Mexico,San Luis Rio Colorado,22,,,,
Alfredo Aceves,aceveal01,MLB,,North America,Mexico,San Luis Rio Colorado,22,,,,
Alfredo Aceves,aceveal01,MLB,,North America,Mexico,San Luis Rio Colorado,22,,,,
Alfredo Aceves,aceveal01,MLB,,North America,Mexico,San Luis Rio Colorado,22,,,,
Alfredo Aceves,aceveal01,MLB,,North America,Mexico,San Luis Rio Colorado,22,,,,
Alfredo Aceves,aceveal01,MLB,,North America,Mexico,San Luis Rio Colorado,22,,,,
Domingo Acevedo,acevedo01,MLB,,North America,Dominican Republic,Villa Los Almacigos,22,,,,
